	013_LR	023_LR	025_LR	044_LR	054_LR	103_LR	172_LR	190_LR
KCNQ1OT1	-4.0208550573582995	-3.5146190724882693	-3.01817012224574	-3.13967571628352	-3.620915117914141	-4.20463460405173	-2.3510488804311507	-4.403352500145919
ZFAT	-5.8655823077154405	-6.380933912246159	-5.65098747444253	-5.157984000105801	-5.720529756347539	-5.62874050932989	-5.65360271378908	-5.922629450958911
MEG9	5.02435702712783	5.255379804815861	6.88543345237149	4.7701082040647	6.463680983383028	7.79284620710967	6.21958346802208	7.101261711102551
ENSG00000259536	-1.4338967767154203	-2.5687159927959597	-2.92058263534259	-2.6243333235565203	-2.18903132566452	-3.3510497000948796	-2.1931745604272597	-1.93222980399264
MEG8	3.6528678955061693	4.92405452868908	6.04068020688051	5.892451534093199	6.418015030152781	6.133209582337109	4.93208799161444	6.431175719751689
PLAGL1	-4.727418826504899	-6.053592457420749	-6.20729590021006	-3.7192658209695697	-7.657128038483479	-5.60278733010603	-6.17800353039227	-5.74590390975949
MEG3	9.13028485047138	6.82300768564815	3.8543657402134297	3.478436278552101	10.82680902811384	7.17113067733237	7.822239696543781	4.08912063567977
SNORD113-9	4.9799826116219	4.98909775419849	3.03632451421806	5.34164103898703	5.820914776201849	0.0	5.7397297694052405	4.84860788918378
IGF2-AS	0.0	-7.973980194061818	-7.56392976810844	-6.10864487448013	-6.609257800359459	0.0	-6.50019356604909	-5.561042183733469
MIR518A1	-5.11526911909318	-1.086090002099255	-5.7326379706165405	-2.46824894272543	-2.16149551368499	-2.62671300943091	-5.33743376122304	-4.96775831120958
SNORD114-2	4.06801906472943	3.7097239241999302	3.34606415888202	3.97178403498294	4.340925543584758	0.0	3.6217170005417003	4.0509223135321095
IGF2	-7.141357292140469	-4.98853737089788	-5.57929884609563	-3.7387817285864404	-6.170575873727	-6.729085243852779	-0.03928868397781993	-9.13812402291287
MIR526B	-5.34985954922792	1.9984014443252818e-15	-6.38462229563353	-6.2867553882525	-5.93574852201608	-5.33410018765716	0.0	-5.06766877015544
