logFC	logCPM	LR	PValue	FDR
KCNQ1OT1	-6.86817211839844	8.73047564885364	51.4248359501907	7.43914417341654e-13	4.57492488376771e-08
ZFAT	-5.9226137739986	10.2109684671852	40.4527083084888	2.01433039514076e-10	6.19386453201831e-06
MEG9	6.91444565223742	6.20851122560838	39.2698087873901	3.69104670658972e-10	7.56639967872849e-06
ENSG00000259536	-6.59309428865865	4.90575650158823	36.1397469194774	1.83662269968283e-09	2.82371556962736e-05
MEG8	5.12384659076165	9.46689063001969	34.4911321856221	4.28197705907667e-09	5.26666050358194e-05
PLAGL1	-6.10143717776219	7.17055357923717	33.6764200571819	6.50848657550551e-09	6.67098179034063e-05
MEG3	5.79110524474499	12.8523551618923	32.0170558770775	1.52824891671908e-08	0.000134263216971985
SNORD113-9	7.92362384249625	3.78711971932602	30.2047039439136	3.88765418414021e-08	0.000298853696270318
IGF2-AS	-8.93930855779725	5.7030307187219	28.5978725544454	8.90800002002491e-08	0.000608693539146102
MIR518A1	-7.42004475705689	3.35054535554391	28.3363185191524	1.01964898013451e-07	0.000627063729803122
SNORD114-2	6.61581818448028	2.70300051956108	27.3375742044074	1.70858849171767e-07	0.000902556377502629
IGF2	-5.69186193169232	12.2891965827631	27.2789943813225	1.76114288757871e-07	0.000902556377502629
MIR526B	-8.3847440404054	4.20303086394142	26.9234952634716	2.1167001210643e-07	0.0010013294157324
MIR1283-1	-8.03601688649109	5.4222132127751	26.4137806096245	2.75567435454812e-07	0.00106539704890711
PEG10	-9.64599728519425	10.8126604949182	26.413413774069	2.75619774760888e-07	0.00106539704890711
PROSER2-AS1	-4.42190229827017	7.83763657553083	26.4024722151464	2.77185482170374e-07	0.00106539704890711
MIR758	5.66028047403701	2.04198315903736	24.9807122189312	5.79067105073949e-07	0.00209479228399045
MIR495	5.96428813801225	2.23683402533638	23.7387569776861	1.10338044095153e-06	0.00376976057542429
SNORD114-3	5.593910659042	3.20624785495022	23.585851926134	1.19462658552501e-06	0.00386669188192723
